algae,Cropland,Population,Temperature,Precipitation,Solar_radiation,Vapor_pressure,Wind_speed,Urban_extent,Elevation,Slope,SOC,Irrigation,N_fertilizer,Manure,P_fertilizer,Land_cover,Aridity_index,Evapo_transpiration,Cattle,Chiken,Goat,Pig,Sheep,GDP_per,GDP,HDI,Human_footprint,Dist_to_WWTP
0,0,10.045027,11.55,95.25,18812,0.95,3.825,0,11,2.114417,16.635729,0,0,0,0,3.75,26255.25,702,0,0,0,0,0,33977.32813,21429112,0.838856,0.611286,0.726981
0,0,10.917559,11.025,100.5,18680.75,0.9075,4.1,0,140,7.077505,16.635729,0,4.055,2.734,0.548,3,28281.75,676.5,501.46637,0,25.032705,19.754644,527.092957,33977.32813,15222058,0.838856,0.771281,0.695234
0,0,340.415131,9.266667,51.666667,17237,0.88,6,13.9576,4.125,0.649636,80.862869,0,0,0,0,22,12155,586,0.703322,972.610352,0.467718,36.493568,84.179169,28712.45703,4461228544,0.797,1,0.067885
0,0,650.424149,9.2,52.75,17165.5,0.87,5.975,10.9538,20,1.674464,76.469945,0,0,0,0,12,16649.5,584.25,0.703322,972.610352,0.467718,36.493568,84.179169,28712.45703,4461228544,0.797,1,0.064589
0,0,647.408218,9.1,54.5,17116.75,0.86,5.925,19.1028,54,2.161202,81.898579,0,0,0,0,17,17206.75,579,0,421.066528,0.515021,0,92.69281,28712.45703,1446573952,0.797,1,0.097864
0,0,647.408157,9.025,55.5,17097.75,0.8575,5.9,21.9739,58,2.440239,76.263737,0,0,0,0,12,17409,579.75,0,421.066528,0.515021,0,92.69281,28712.45703,1446573952,0.797,1,0.114514
0,0,658.624939,8.95,55.75,17031.75,0.8575,5.9,12.7977,85.5,1.905819,82.86554,0,0,0,0,12,17750.25,569.75,0,421.066528,0.515021,0,92.69281,28712.45703,1446573952,0.797,1,0.097748
0,0,553.859322,8.9,56.25,17022.75,0.8575,5.875,2.4974,77.5,0.919715,82.97423,0,0,0,0,12,17862.25,571,0,421.066528,0.515021,0,92.69281,28712.45703,1446573952,0.797,1,0.114415
0,10,1.65718,8.975,85.75,16832,0.9125,6.25,0,42.875,2.036993,195.54578,0,0,0,0,14,26156,534.75,194.071655,6.438489,0.484126,0,166.147812,28712.45703,524554,0.797,0.311105,0.346303
0,13,1.662037,8.975,93,16688.75,0.915,6.125,0,180.625,8.7874,218.586044,0,0,0,0,12.75,28541,530.75,198.651489,6.590428,0.495551,0,170.06868,28712.45703,3986610.25,0.797,0.196718,0.818747
